"Constriction_Level","Incident_Angle","width_Round","width_Vertical","height_Round","height_Vertical","area_Round","area_Vertical","width_pct_diff","height_pct_diff","area_pct_diff"
5,5,10.3671096516881,8.7660026779802,10.397029072,12.337197564,84.6558221403917,84.9391674425961,-15.4441018519295,18.6607970273453,0.334702676130702
5,10,10.2833032321916,8.69722186085104,10.396002888,12.316961876,83.9631870861191,84.1344824154813,-15.4238510284845,18.4778612385472,0.204012419379121
5,15,10.1422877033516,8.57162944186318,10.406805248,12.36752774,82.897843798843,83.2599531938775,-15.4862325683129,18.8407724106955,0.436814009195744
5,20,9.94703172912812,8.40316429955027,10.420548782,12.377090642,81.4092915964542,81.6866917503617,-15.5208857438034,18.7758044315252,0.340747534424757
5,25,9.69750034705846,8.18220931658819,10.219174926,12.270489112,77.8333133001687,78.853748099839,-15.6255836683719,20.07318791247,1.3110514719256
5,30,9.3807598866542,7.9073517182084,10.390753994,12.40666285,76.5552473311547,77.0505811022275,-15.7067037878454,19.4009872350366,0.647027850266304
5,35,8.99849326867771,7.57307366939762,10.400036424,12.427815596,73.501218323244,73.9191328508204,-15.8406475030853,19.4978083665219,0.568581769268864
5,40,8.54242064692797,7.19707592164362,10.515931402,12.412512256,70.553502600179,70.1625970181012,-15.7489870949889,18.0353102497349,-0.554055529025957
5,45,8.02099683095182,6.76916360837352,10.101247188,12.360788288,63.6345862949629,65.7159908329295,-15.6069532124444,22.3689318551106,3.27086991391557
5,50,7.42873595231722,6.2757906065978,9.955205998,12.347281924,58.0838044308853,60.8596836597405,-15.5200743857343,24.0283920441282,4.77909333944934
5,55,6.77377807342882,5.74508334014032,10.484487938,12.511382264,55.7786590898931,56.4535825990108,-15.1864250959698,19.332315874519,1.21000310894901
5,60,6.04499773243405,5.17727163590651,10.001176388,12.503168862,47.482886340691,50.8406307170161,-14.3544486687201,25.0169817722847,7.07148329659892
5,65,5.29441811039575,4.555288481567,10.295359774,12.647345018,42.8104353700727,45.2485986012025,-13.9605451140598,22.8451000803267,5.69525446320085
5,70,4.37420214877066,3.92092953414967,10.723169088,12.653272014,36.839343751389,38.9656354520795,-10.362406656226,17.9993704301457,5.77179581438752
5,75,3.50994117804132,3.34455223423019,10.87746646,12.523063788,29.9859265277994,32.8956488547288,-4.71201468690757,15.1284982955489,9.70362654704647
5,80,2.64668155110959,2.64668155110959,10.83697666,12.109443086,22.5268106967202,25.1718851668201,0,11.7418950499059,11.7418950499059
