Species,Plane,Landmark,X,Y,Z,,,
Suntamartamys_rufodorsalis,Orbit,OS,176,165,57,,,
Suntamartamys_rufodorsalis,Pallate ,Prosthion,31,76,118,,,
Suntamartamys_rufodorsalis,Pallate ,M1(1),150,76,110,,,
Suntamartamys_rufodorsalis,Pallate ,M1(2),150,76,126,,,
Mylomys_dybowskyii,Orbit,OA,118,154,52,,,
Mylomys_dybowskyii,Orbit,OS,171,195,77,,,
Mylomys_dybowskyii,Orbit,OI,176,131,21,,,
Mylomys_dybowskyii,Pallate ,Prosthion,24,91,107,,,
Mylomys_dybowskyii,Pallate ,M1(1),150,93,100,,,
Mylomys_dybowskyii,Pallate ,M1(2),150,93,114,,,
Myocastor_copyu,Orbit,OA,173,186,87,,,
Myocastor_copyu,Orbit,OS,202,234,105,,,
Myocastor_copyu,Orbit,OI,205,161,60,,,
Myocastor_copyu,Pallate ,Prosthion,35,141,166,,,
Myocastor_copyu,Pallate ,M1(1),163,115,160,,,
Myocastor_copyu,Pallate ,M1(2),163,115,172,,,
Neacomys_spinosus,Orbit,OA,315,152,67,,,
Neacomys_spinosus,Orbit,OI,262,113,45,,,
Neacomys_spinosus,Orbit,OS,281,193,92,,,
Neacomys_spinosus,Pallate ,Prosthion,400,103,136,,,
Neacomys_spinosus,Pallate ,M1(1),275,96,130,,,
Neacomys_spinosus,Pallate ,M1(2),275,96,142,,,
Nesomys_rufus,Orbit,OA,132,159,85,,,
Nesomys_rufus,Orbit,OS,167,188,105,,,
Nesomys_rufus,Orbit,OI,177,119,55,,,
Nesomys_rufus,Pallate ,Prosthion,32,108,135,,,
Nesomys_rufus,Pallate ,M1(1),146,106,145,,,
Nesomys_rufus,Pallate ,M1(2),146,106,125,,,
Maxomys_surifer,Orbit,OA,412,190,81,,,
Maxomys_surifer,Orbit,OI,356,120,39,,,
Maxomys_surifer,Orbit,OS,344,221,114,,,
Maxomys_surifer,Pallate ,Prosthion,624,116,171,,,
Maxomys_surifer,Pallate ,M1(1),385,75,180,,,
Maxomys_surifer,Pallate ,M1(2),385,75,162,,,
Arvicola_amphibius,Orbit,OS,232,220,92,,,
Arvicola_amphibius,Orbit,OI,211,172,26,,,
Arvicola_amphibius,Orbit,OA,274,198,63,,,
Arvicola_amphibius,Pallate ,Prosthion,363,135,126,,,
Arvicola_amphibius,Pallate ,M1(1),231,109,132,,,
Arvicola_amphibius,Pallate ,M1(2),231,109,120,,,
Lepus_californicus,Orbit,OA,200,242,94,,,
Lepus_californicus,Orbit,OS,285,299,111,,,
Lepus_californicus,Orbit,OI,226,207,77,,,
Lepus_californicus,Pallate ,Prosthion,14,223,173,,,
Lepus_californicus,Pallate ,M1(1),185,170,180,,,
Lepus_californicus,Pallate ,M1(2),185,170,166,,,
Pseudochirops_cupreus ,Orbit,OA,134,184,97,,,
Pseudochirops_cupreus ,Orbit,OS,172,251,135,,,
Pseudochirops_cupreus ,Orbit,OI,156,170,53,,,
Pseudochirops_cupreus ,Pallate ,Prosthion,12,116,167,,,
Pseudochirops_cupreus ,Pallate ,M1(1),178,109,160,,,
Pseudochirops_cupreus ,Pallate ,M1(2),178,109,174,,,
Vombatus_ursinus ,Orbit,OI,170,208,63,,,
Vombatus_ursinus ,Orbit,OA,144,232,93,,,
Vombatus_ursinus ,Orbit,OS,203,264,113,,,
Vombatus_ursinus ,Pallate ,Prosthion,27,171,173,,,
Vombatus_ursinus ,Pallate ,M1(1),196,144,180,,,
Vombatus_ursinus ,Pallate ,M1(2),196,144,166,,,
Phascolarctos_cinereus,Orbit,OI,148,187,51,,,
Phascolarctos_cinereus,Orbit,OS,177,261,91,,,
Phascolarctos_cinereus,Orbit,OA,141,232,78,,,
Phascolarctos_cinereus,Pallate ,Prosthion,39,192,158,,,
Phascolarctos_cinereus,Pallate ,M1(1),169,119,166,,,
Phascolarctos_cinereus,Pallate ,M1(2),169,119,159,,,
Lasiorhinus_sp.,Orbit,OS,227,286,93,,,
Lasiorhinus_sp.,Orbit,OA,169,254,84,,,
Lasiorhinus_sp.,Orbit,OI,192,226,52,,,
Lasiorhinus_sp.,Pallate ,Prosthion,27,195,174,,,
Lasiorhinus_sp.,Pallate ,M1(1),212,152,178,,,
Lasiorhinus_sp.,Pallate ,M1(2),212,152,170,,,
Sminthopsis_crassicaudata,Orbit,OA,151,172,60,,,
Sminthopsis_crassicaudata,Orbit,OS,256,212,73,,,
Sminthopsis_crassicaudata,Orbit,OI,184,148,35,,,
Sminthopsis_crassicaudata,Pallate ,Prosthion,6,145,132,,,
Sminthopsis_crassicaudata,Pallate ,M1(1),145,121,128,,,
Sminthopsis_crassicaudata,Pallate ,M1(2),145,121,136,,,
Puma_concolor ,Orbit,OS,194,264,108,,,
Puma_concolor ,Orbit,OI,133,189,70,,,
Puma_concolor ,Orbit,OA,126,195,98,,,
Puma_concolor ,Pallate ,Prosthion,18,157,167,,,
Puma_concolor ,Pallate ,M1(1),125,121,160,,,
Puma_concolor ,Pallate ,M1(2),125,121,174,,,
Praomys_jacksoni ,Orbit,OI,161,129,68,,,
Praomys_jacksoni ,Orbit,OA,130,153,90,,,
Praomys_jacksoni ,Orbit,OS,154,169,107,,,
Praomys_jacksoni ,Pallate ,Prosthion,45,115,130,,,
Praomys_jacksoni ,Pallate ,M1(1),152,110,125,,,
Praomys_jacksoni ,Pallate ,M1(2),152,110,135,,,
Thallomys,Orbit,OA,124,180,98,,,
Thallomys,Orbit,OS,168,201,120,,,
Thallomys,Orbit,OI,165,146,62,,,
Thallomys,Pallate ,Prosthion,34,134,143,,,
Thallomys,Pallate ,M1(1),152,117,150,,,
Thallomys,Pallate ,M1(2),152,117,136,,,
Sundamys_muelleri,Orbit,OA,143,107,46,,,
Sundamys_muelleri,Orbit,OI,183,75,18,,,
Sundamys_muelleri,Orbit,OS,180,128,63,,,
Sundamys_muelleri,Pallate ,Prosthion,61,36,84,,,
Sundamys_muelleri,Pallate ,M1(1),171,50,90,,,
Sundamys_muelleri,Pallate ,M1(2),171,50,78,,,
Thryonomys ,Orbit,OA,203,259,49,,,
Thryonomys ,Orbit,OI,221,207,32,,,
Thryonomys ,Orbit,OS,255,304,80,,,
Thryonomys ,Pallate ,Prosthion,8,185,172,,,
Thryonomys ,Pallate ,M1(1),165,136,180,,,
Thryonomys ,Pallate ,M1(2),165,136,164,,,
