Binomial.1.2,Upham_TipLabel,Alvarez.Carretero_Tiplabel,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Pupil,Diel,Flexible,avg_mass_g,Slit,Genus_Diet_4,Genus_Diet_3,Orbit_Verticality,OrbitVerticality_ref.,Height,Height reference 
Poiana_leightoni,Poiana_leightoni,poiana_richardsonii,Carnivora,Viverridae,Poiana,leightoni,Vertical,Nocturnal,0,550,1,Mixed,Mixed,58.1,Heesy (2005),143,Frasier (2015)
Genetta_abyssinica,Genetta_abyssinica,genetta_pardina,Carnivora,Viverridae,Genetta,abyssinica,Vertical,Nocturnal,0,2130.714286,1,Carnivore,Carnivore,57.92,Heesy (2005),196,Frasier (2015)
Arctogalidia_trivirgata,Arctogalidia_trivirgata,arctogalidia_trivirgata,Carnivora,Viverridae,Arctogalidia,trivirgata,Vertical,Nocturnal,0,2250,1,Carnivore,Carnivore,67.1,Heesy (2005),197,Frasier (2015)
Hemigalus_derbyanus,Hemigalus_derbyanus,hemigalus_derbyanus,Carnivora,Viverridae,Hemigalus,derbyanus,Vertical,Nocturnal,0,2322.5,1,Insectivore,Carnivore,60.1,Heesy (2005),204,Frasier (2015)
Viverricula_indica,Viverricula_indica,viverricula_indica,Carnivora,Viverridae,Viverricula,indica,Vertical,Nocturnal,0,2908.4,1,Carnivore,Carnivore,59.1,Heesy (2005),229,Frasier (2015)
Vulpes_bengalensis,Vulpes_bengalensis,vulpes_vulpes,Carnivora,Canidae,Vulpes,bengalensis,Vertical,Nocturnal,1,2934.691667,1,Carnivore,Carnivore,58.6,Heesy (2005),252,Frasier (2015)
Ailurus_fulgens,Ailurus_fulgens,ailurus_fulgens,Carnivora,Ailuridae,Ailurus,fulgens,Vertical,Cathemeral,,4900,1,Herbivore,Herbivore,62.7,Heesy (2005),278,Frasier (2015)
Paguma_larvata,Paguma_larvata,paguma_larvata,Carnivora,Viverridae,Paguma,larvata,Vertical,Nocturnal,1,4300,1,Carnivore,Carnivore,61.8,Heesy (2005),282,Frasier (2015)
Otocyon_megalotis,Otocyon_megalotis,otocyon_megalotis,Carnivora,Canidae,Otocyon,megalotis,Vertical,Nocturnal,1,4150,1,Insectivore,Carnivore,64,Heesy (2005),297,Frasier (2015)
Urocyon_cinereoargenteus,Urocyon_cinereoargenteus,urocyon_cinereoargenteus,Carnivora,Canidae,Urocyon,cinereoargenteus,Vertical,Nocturnal,1,2864.85,1,Herbivore,Herbivore,66.2,Heesy (2005),315,Frasier (2015)
Nyctereutes_procyonoides,Nyctereutes_procyonoides,nyctereutes_procyonoides,Carnivora,Canidae,Nyctereutes,procyonoides,Vertical,Nocturnal,1,4040,1,Mixed,Carnivore,61.5,Heesy (2005),319,Frasier (2015)
Neofelis_diardi,Neofelis_diardi,neofelis_nebulosa,Carnivora,Felidae,Neofelis,diardi,Vertical,Nocturnal,1,20500,1,Carnivore,Carnivore,55.1,Heesy (2005),325,Frasier (2015)
Leopardus_colocolo,Leopardus_colocolo,leopardus_colocolo,Carnivora,Felidae,Leopardus,colocolo,Vertical,Nocturnal,1,4874.9125,1,Carnivore,Carnivore,65.5,Heesy (2005),331,Frasier (2015)
Felis_bieti,Felis_bieti,felis_catus,Carnivora,Felidae,Felis,bieti,Vertical,Nocturnal,0,4893.6,1,Carnivore,Carnivore,64,Heesy (2005),335,Frasier (2015)
Prionailurus_bengalensis,Prionailurus_bengalensis,prionailurus_bengalensis,Carnivora,Felidae,Prionailurus,bengalensis,Vertical,Nocturnal,1,5143.675,1,Carnivore,Carnivore,63.72,Heesy (2005),343,Frasier (2015)
Viverra_civettina,Viverra_civettina,viverra_tangalunga,Carnivora,Viverridae,Viverra,civettina,Vertical,Nocturnal,1,9607.2,1,Carnivore,Carnivore,57.8,Heesy (2005),355,Frasier (2015)
Arctictis_binturong,Arctictis_binturong,arctictis_binturong,Carnivora,Viverridae,Arctictis,binturong,Vertical,Cathemeral,,9875,1,Herbivore,Herbivore,61.9,Heesy (2005),366,Frasier (2015)
Cryptoprocta_ferox,Cryptoprocta_ferox,cryptoprocta_ferox,Carnivora,Eupleridae,Cryptoprocta,ferox,Vertical,Cathemeral,,9500,1,Carnivore,Carnivore,62.1,Heesy (2005),370,Frasier (2015)
Civettictis_civetta,Civettictis_civetta,civettictis_civetta,Carnivora,Viverridae,Civettictis,civetta,Vertical,Nocturnal,1,12000,1,Carnivore,Carnivore,60.5,Heesy (2005),400,Frasier (2015)
Nandinia_binotata,Nandinia_binotata,nandinia_binotata,Carnivora,Nandiniidae,Nandinia,binotata,Vertical,Nocturnal,0,2000,1,Herbivore,Herbivore,64.5,Heesy (2005),400,Frasier (2015)
Proteles_cristata,Proteles_cristata,proteles_cristatus,Carnivora,Hyaenidae,Proteles,cristata,Vertical,Nocturnal,1,10000,1,Insectivore,Carnivore,66.5,Heesy (2005),450,Frasier (2015)
Cuon_alpinus,Cuon_alpinus,cuon_alpinus,Carnivora,Canidae,Cuon,alpinus,Round,Cathemeral,,12760,,Carnivore,Carnivore,61.3,Heesy (2005),500,Frasier (2015)
Canis_adustus,Canis_adustus,canis_lupus,Carnivora,Canidae,Canis,adustus,Round,Nocturnal,1,15381.12857,,Carnivore,Carnivore,58.5,Heesy (2005),564,Frasier (2015)
Lycaon_pictus,Lycaon_pictus,lycaon_pictus,Carnivora,Canidae,Lycaon,pictus,Round,Crepuscular,,22050.1,,Carnivore,Carnivore,62.7,Heesy (2005),574,Frasier (2015)
Lynx_canadensis,Lynx_canadensis,lynx_canadensis,Carnivora,Felidae,Lynx,canadensis,Vertical,Nocturnal,1,11406.825,0,Carnivore,Carnivore,59.9,Heesy (2005),585,Frasier (2015)
Hyaena_hyaena,Hyaena_hyaena,hyaena_hyaena,Carnivora,Hyaenidae,Hyaena,hyaena,Vertical,Nocturnal,0,41705.1,1,Carnivore,Carnivore,65.8,Heesy (2005),760,Frasier (2015)
Panthera_leo,Panthera_leo,panthera_leo,Carnivora,Felidae,Panthera,leo,Round,Nocturnal,1,104645.96,,Carnivore,Carnivore,55.97,Heesy (2005),783,Frasier (2015)
Acinonyx_jubatus,Acinonyx_jubatus,acinonyx_jubatus,Carnivora,Felidae,Acinonyx,jubatus,Round,Nocturnal,1,46700,,Carnivore,Carnivore,64.2,Heesy (2005),800,Frasier (2015)
Crocuta_crocuta,Crocuta_crocuta,crocuta_crocuta,Carnivora,Hyaenidae,Crocuta,crocuta,Vertical,Nocturnal,1,62999.9,1,Carnivore,Carnivore,63.2,Heesy (2005),808,Frasier (2015)
Trichosurus_caninus,Trichosurus_caninus,trichosurus_caninus,Diprotodontia,Phalangeridae,Trichosurus,caninus,Round,Nocturnal,0,3140,,Herbivore,Herbivore,44.25,Heesy (2005),,
Phalanger_gymnotis,Phalanger_gymnotis,phalanger_gymnotis,Diprotodontia,Phalangeridae,Phalanger,gymnotis,Vertical,Nocturnal,0,1936.692308,0,Herbivore,Herbivore,47.14,Heesy (2005),,
Macroscelides_flavicaudatus,Macroscelides_flavicaudatus,macroscelides_proboscideus,Macroscelidea,Macroscelididae,Macroscelides,flavicaudatus,Vertical,Crepuscular,,35.2,1,Insectivore,Carnivore,47.4,Heesy (2005),,
Metachirus_nudicaudatus,Metachirus_nudicaudatus,metachirus_nudicaudatus,Didelphimorphia,Didelphidae,Metachirus,nudicaudatus,Round,Nocturnal,0,375,,Carnivore,Carnivore,49.3,Heesy (2005),,
Didelphis_albiventris,Didelphis_albiventris,didelphis_albiventris,Didelphimorphia,Didelphidae,Didelphis,albiventris,Round,Nocturnal,0,1227.816667,,Carnivore,Carnivore,49.87,Heesy (2005),,
Philander_andersoni,Philander_andersoni,philander_mcilhennyi,Didelphimorphia,Didelphidae,Philander,andersoni,Round,Nocturnal,0,334.5,,Mixed,Carnivore,50.15,Heesy (2005),,
Elephantulus_fuscipes,Elephantulus_fuscipes,elephantulus_brachyrhynchus,Macroscelidea,Macroscelididae,Elephantulus,fuscipes,Vertical,Crepuscular,,93.07272727,1,Insectivore,Carnivore,51.6,Heesy (2005),,
Pseudocheirus_occidentalis,Pseudocheirus_occidentalis,pseudocheirus_peregrinus,Diprotodontia,Pseudocheiridae,Pseudocheirus,occidentalis,Round,Nocturnal,0,943.75,,Herbivore,Herbivore,52.05,Heesy (2005),,
Monodelphis_domestica,Monodelphis_domestica,monodelphis_domestica,Didelphimorphia,Didelphidae,Monodelphis,domestica,Round,Nocturnal,0,94.75882353,,Mixed,Carnivore,53,Heesy (2005),,
Perodicticus_edwardsi,Perodicticus_potto,perodicticus_potto,Primates,Lorisidae,Perodicticus,edwardsi,Vertical,Nocturnal,0,1108,0,Herbivore,Herbivore,53.6,Heesy (2005),,
Arctocebus_aureus,Arctocebus_aureus,arctocebus_aureus,Primates,Lorisidae,Arctocebus,aureus,Vertical,Nocturnal,0,222.5,0,Insectivore,Carnivore,56.1,Heesy (2005),,
Caluromys_derbianus,Caluromys_derbianus,caluromys_derbianus,Didelphimorphia,Didelphidae,Caluromys,derbianus,Round,Nocturnal,1,283.7666667,,Herbivore,Herbivore,56.7,Heesy (2005),,
Lutreolina_crassicaudata,Lutreolina_crassicaudata,lutreolina_crassicaudata,Didelphimorphia,Didelphidae,Lutreolina,crassicaudata,Round,Nocturnal,1,410.65,,Carnivore,Carnivore,59.2,Heesy (2005),,
Marmosa_mexicana,Marmosa_mexicana,marmosa_murina,Didelphimorphia,Didelphidae,Marmosa,mexicana,Round,Nocturnal,0,62.28666667,,Mixed,Carnivore,60.3,Heesy (2005),,
Otolemur_crassicaudatus,Otolemur_crassicaudatus,otolemur_crassicaudatus,Primates,Galagidae,Otolemur,crassicaudatus,Vertical,Nocturnal,0,1130,0,Herbivore,Herbivore,60.3,Heesy (2005),,
Cheirogaleus_crossleyi,Cheirogaleus_crossleyi,cheirogaleus_major,Primates,Cheirogaleidae,Cheirogaleus,crossleyi,Vertical,Nocturnal,0,298.28,0,Herbivore,Herbivore,60.5,Heesy (2005),,
Loris_lydekkerianus,Loris_lydekkerianus,loris_tardigradus,Primates,Lorisidae,Loris,lydekkerianus,Vertical,Nocturnal,0,231.35,0,Insectivore,Carnivore,62.5,Heesy (2005),,
Microcebus_mamiratra,Microcebus_mamiratra,microcebus_mamiratra,Primates,Cheirogaleidae,Microcebus,mamiratra,Vertical,Nocturnal,0,54.545,0,Mixed,Carnivore,63.3,Heesy (2005),,
Nycticebus_bengalensis,Nycticebus_bengalensis,nycticebus_bengalensis,Primates,Lorisidae,Nycticebus,bengalensis,Vertical,Nocturnal,0,962.1,0,Herbivore,Herbivore,63.5,Heesy (2005),,
Aotus_azarae,Aotus_azarae,aotus_brumbacki,Primates,Aotidae,Aotus,azarae,Round,Nocturnal,0,890.7727273,,Herbivore,Herbivore,67.5,Heesy (2005),,
Daubentonia_madagascariensis,Daubentonia_madagascariensis,daubentonia_madagascariensis,Primates,Daubentoniidae,Daubentonia,madagascariensis,Round,Nocturnal,0,2500,,Herbivore,Herbivore,67.5,Heesy (2005),,
Galago_gallarum,Galago_gallarum,galago_alleni,Primates,Galagidae,Galago,gallarum,Vertical,Nocturnal,0,211.925,0,Herbivore,Herbivore,67.65,Heesy (2005),,
Lepilemur_leucopus,Lepilemur_leucopus,lepilemur_dorsalis,Primates,Lepilemuridae,Lepilemur,leucopus,Vertical,Nocturnal,0,842.4923077,0,Herbivore,Herbivore,68.6,Heesy (2005),,
Avahi_betsileo,Avahi_betsileo,avahi_laniger,Primates,Indriidae,Avahi,betsileo,Vertical,Nocturnal,0,973.3333333,0,Herbivore,Herbivore,68.8,Heesy (2005),,
Galagoides_rondoensis,Galagoides_rondoensis,galagoides_orinus,Primates,Galagidae,Galagoides,rondoensis,Vertical,Nocturnal,0,106.3142857,0,Insectivore,Carnivore,69.9,Heesy (2005),,
Puma_concolor,Puma_concolor,puma_concolor,Carnivora,Felidae,Puma,concolor,Round,Nocturnal,1,51600,,Carnivore,Carnivore,63.6,This study,650,Frasier (2015)
Arvicola_scherman,Arvicola_scherman,arvicola_sapidus,Rodentia,Cricetidae,Arvicola,scherman,Round,Cathemeral,,180.8333333,,Herbivore,Herbivore,37.95,This study,,
Praomys_daltoni,Praomys_daltoni,praomys_daltoni,Rodentia,Muridae,Praomys,daltoni,Round,Nocturnal,0,42.43125,,Herbivore,Herbivore,45.2,This study,,
Uromys_caudimaculatus,Uromys_caudimaculatus,uromys_caudimaculatus,Rodentia,Muridae,Uromys,caudimaculatus,Round,Nocturnal,0,531.07,,Herbivore,Herbivore,46.2,This study,,
Vombatus_ursinus,Vombatus_ursinus,vombatus_ursinus,Diprotodontia,Vombatidae,Vombatus,ursinus,Round,Nocturnal,1,26000,,Herbivore,Herbivore,47.7,This study,,
Sundamys_maxi,Sundamys_maxi,sundamys_muelleri,Rodentia,Muridae,Sundamys,maxi,Round,Nocturnal,0,351.7333333,,Herbivore,Herbivore,49.94,This study,,
Apodemus_agrarius,Apodemus_agrarius,apodemus_agrarius,Rodentia,Muridae,Apodemus,agrarius,Round,Nocturnal,0,31,,Herbivore,Herbivore,50.5,This study,,
Oligoryzomys_andinus,Oligoryzomys_andinus,oligoryzomys_andinus,Rodentia,Cricetidae,Oligoryzomys,andinus,Round,Nocturnal,0,22.8,,Herbivore,Herbivore,51.4,This study,,
Cricetomys_gambianus,Cricetomys_gambianus,cricetomys_emini,Rodentia,Nesomyidae,Cricetomys,gambianus,Round,Nocturnal,0,1285.5,,Herbivore,Herbivore,51.6,This study,,
Rattus_norvegicus,Rattus_norvegicus,rattus_norvegicus,Rodentia,Muridae,Rattus,norvegicus,Round,Nocturnal,0,171.5609375,,Herbivore,Herbivore,52,This study,,
Mus_musculus,Mus_musculus,mus_musculus,Rodentia,Muridae,Mus,musculus,Round,Nocturnal,0,15.12820513,,Herbivore,Herbivore,52.2,This study,,
Aethomys_namaquensis,Aethomys_namaquensis,aethomys_chrysophilus,Rodentia,Muridae,Aethomys,namaquensis,Round,Nocturnal,0,85.57272727,,Herbivore,Herbivore,52.4,This study,,
Pseudochirops_albertisii,Pseudochirops_albertisii,pseudochirops_albertisii,Diprotodontia,Pseudocheiridae,Pseudochirops,albertisii,Vertical,Nocturnal,0,1244.78,1,Herbivore,Herbivore,53.26,This study,,
Grammomys_aridulus,Grammomys_aridulus,grammomys_dolichurus,Rodentia,Muridae,Grammomys,aridulus,Round,Nocturnal,0,41.15,,Herbivore,Herbivore,53.5,This study,,
Melomys_caurinus,Melomys_caurinus,melomys_cervinipes,Rodentia,Muridae,Melomys,caurinus,Round,Nocturnal,0,85.67619048,,Herbivore,Herbivore,53.5,This study,,
Sminthopsis_crassicaudata,Sminthopsis_crassicaudata,sminthopsis_crassicaudata,Dasyuromorphia,Dasyuridae,Sminthopsis,crassicaudata,Round,Nocturnal,0,21.24,,Insectivore,Carnivore,54.3,This study,,
Nesomys_audeberti,Nesomys_audeberti,nesomys_audeberti,Rodentia,Nesomyidae,Nesomys,audeberti,Round,Diurnal,,176.6666667,,Herbivore,Herbivore,54.3,This study,,
Oecomys_auyantepui,Oecomys_auyantepui,oecomys_auyantepui,Rodentia,Cricetidae,Oecomys,auyantepui,Round,Nocturnal,0,63.58666667,,Herbivore,Herbivore,55.2,This study,,
Lasiorhinus_krefftii,Lasiorhinus_krefftii,lasiorhinus_krefftii,Diprotodontia,Vombatidae,Lasiorhinus,krefftii,Vertical,Nocturnal,0,28475,0,Herbivore,Herbivore,55.4,This study,,
Lagidium_wolffsohni,Lagidium_wolffsohni,lagidium_viscacia,Rodentia,Chinchillidae,Lagidium,wolffsohni,Vertical,Diurnal,,2074,1,Herbivore,Herbivore,55.5,This study,,
Microcavia_australis,Microcavia_australis,microcavia,Rodentia,Caviidae,Microcavia,australis,Vertical,Diurnal,,242.1,0,Herbivore,Herbivore,56.04,This study,,
Chinchilla_lanigera,Chinchilla_lanigera,chinchilla_lanigera,Rodentia,Chinchillidae,Chinchilla,lanigera,Vertical,Nocturnal,1,458.5,1,Herbivore,Herbivore,56.6,This study,,
Thrichomys_laurentius,Thrichomys_laurentius,thrichomys_inermis,Rodentia,Echimyidae,Thrichomys,laurentius,Vertical,Crepuscular,,327.025,0,Herbivore,Herbivore,58.7,This study,,
Sundasciurus_tenuis,Sundasciurus_tenuis,sundasciurus_brookei,Rodentia,Sciuridae,Sundasciurus,tenuis,Horizontal,Diurnal,,200.3133333,,Herbivore,Herbivore,,This study,,
Proechimys_simonsi,Proechimys_simonsi,proechimys_simonsi,Rodentia,Echimyidae,Proechimys,simonsi,Vertical,Nocturnal,0,277.0590909,1,Herbivore,Herbivore,59.9,This study,,
Echimys_chrysurus,Echimys_chrysurus,echimys_chrysurus,Rodentia,Echimyidae,Echimys,chrysurus,Vertical,Nocturnal,0,596.4,1,Herbivore,Herbivore,62.2,This study,,
Hydrochoerus_hydrochaeris,Hydrochoerus_hydrochaeris,hydrochoerus_hydrochaeris,Rodentia,Caviidae,Hydrochoerus,hydrochaeris,Vertical,Cathemeral,,48724.8,0,Herbivore,Herbivore,62.6,This study,,
Myocastor_coypus,Myocastor_coypus,myocastor_coypus,Rodentia,Echimyidae,Myocastor,coypus,Vertical,Nocturnal,0,6937.5,1,Herbivore,Herbivore,65.2,This study,,
Meriones_unguiculatus,Meriones_unguiculatus,meriones_unguiculatus,Rodentia,Muridae,Meriones,unguiculatus,Vertical,Nocturnal,0,101.5823529,1,Herbivore,Herbivore,66.4,This study,,
Pedetes_capensis,Pedetes_capensis,pedetes_capensis,Rodentia,Pedetidae,Pedetes,capensis,Vertical,Nocturnal,0,3327.5,0,Herbivore,Herbivore,66.4,This study,,
Phascolarctos_cinereus,Phascolarctos_cinereus,phascolarctos_cinereus,Diprotodontia,Phascolarctidae,Phascolarctos,cinereus,Vertical,Nocturnal,1,10250,1,Herbivore,Herbivore,66.95,This study,,
Toromys_grandis,Toromys_grandis,toromys_grandis,Rodentia,Echimyidae,Toromys,grandis,Vertical,Nocturnal,0,449.5,1,Herbivore,Herbivore,67.3,This study,,
Dactylomys_boliviensis,Dactylomys_boliviensis,dactylomys_boliviensis,Rodentia,Echimyidae,Dactylomys,boliviensis,Vertical,Nocturnal,0,586.9333333,1,Herbivore,Herbivore,67.5,This study,,
Lepus_alleni,Lepus_alleni,lepus_alleni,Lagomorpha,Leporidae,Lepus,alleni,Vertical,Nocturnal,1,2570.0625,0,Herbivore,Herbivore,69.6,This study,,
Dasyurus_hallucatus,Dasyurus_hallucatus,dasyurus_albopunctatus,Dasyuromorphia,Dasyuridae,Dasyurus,hallucatus,Round,Nocturnal,1,1677.433333,,Insectivore,Carnivore,51.1,Gaillard (2023),,
Sarcophilus_harrisii,Sarcophilus_harrisii,sarcophilus_harrisii,Dasyuromorphia,Dasyuridae,Sarcophilus,harrisii,Vertical,Nocturnal,0,11000,0,Carnivore,Carnivore,72.7,Gaillard (2023),,
Atelocynus_microtis,Atelocynus_microtis,atelocynus_microtis,Carnivora,Canidae,Atelocynus,microtis,Round,Diurnal,,7750,,Carnivore,Carnivore,,,,
Cerdocyon_thous,Cerdocyon_thous,cerdocyon_thous,Carnivora,Canidae,Cerdocyon,thous,Vertical,Nocturnal,1,5240,1,Carnivore,Carnivore,,,,
Chrysocyon_brachyurus,Chrysocyon_brachyurus,chrysocyon_brachyurus,Carnivora,Canidae,Chrysocyon,brachyurus,Round,Nocturnal,1,23249.8,CIRC,Carnivore,Carnivore,,,,
Lycalopex_culpaeus,Pseudalopex_culpaeus,lycalopex_culpaeus,Carnivora,Canidae,Lycalopex,culpaeus,Vertical,Cathemeral,,5831.65,1,Carnivore,Carnivore,,,,
Speothos_venaticus,Speothos_venaticus,speothos_venaticus,Carnivora,Canidae,Speothos,venaticus,Round,Diurnal,,6000,,Carnivore,Carnivore,,,,
Eupleres_goudotii,Eupleres_goudotii,eupleres_goudotii,Carnivora,Eupleridae,Eupleres,goudotii,Vertical,Cathemeral,,2856.05,1,Insectivore,Carnivore,,,,
Fossa_fossana,Fossa_fossana,fossa_fossana,Carnivora,Eupleridae,Fossa,fossana,Vertical,Nocturnal,0,1500,1,Insectivore,Carnivore,,,,
Galidia_elegans,Galidia_elegans,galidia_elegans,Carnivora,Eupleridae,Galidia,elegans,Horizontal,Diurnal,,800,,Carnivore,Carnivore,,,,
Galidictis_fasciata,Galidictis_fasciata,galidictis_fasciata,Carnivora,Eupleridae,Galidictis,fasciata,Horizontal,Nocturnal,0,975,,Carnivore,Carnivore,,,,
Mungotictis_decemlineata,Mungotictis_decemlineata,mungotictis_decemlineata,Carnivora,Eupleridae,Mungotictis,decemlineata,Horizontal,Diurnal,,650,,Insectivore,Carnivore,,,,
Salanoia_concolor,Salanoia_concolor,salanoia_concolor,Carnivora,Eupleridae,Salanoia,concolor,Horizontal,Diurnal,,650,,Insectivore,Carnivore,,,,
Caracal_aurata,Caracal_aurata,caracal_caracal,Carnivora,Felidae,Caracal,aurata,Vertical,Nocturnal,1,12199.95,0,Carnivore,Carnivore,,,,
Catopuma_badia,Catopuma_badia,catopuma_badia,Carnivora,Felidae,Catopuma,badia,Round,Cathemeral,,7000,,Carnivore,Carnivore,,,,
Herpailurus_yagouaroundi,Herpailurus_yagouaroundi,puma_yagouaroundi,Carnivora,Felidae,Herpailurus,yagouaCIRCi,Round,Diurnal,,7874.9,,Carnivore,Carnivore,,,,
Leptailurus_serval,Leptailurus_serval,leptailurus_serval,Carnivora,Felidae,Leptailurus,serval,Vertical,Crepuscular,,12000,1,Carnivore,Carnivore,,,,
Otocolobus_manul,Otocolobus_manul,otocolobus_manul,Carnivora,Felidae,Otocolobus,manul,Round,Crepuscular,,3500,,Carnivore,Carnivore,,,,
Pardofelis_marmorata,Pardofelis_marmorata,pardofelis_marmorata,Carnivora,Felidae,Pardofelis,marmorata,Vertical,Nocturnal,0,2854.3,1,Carnivore,Carnivore,,,,
Bdeogale_crassicauda,Bdeogale_crassicauda,bdeogale_crassicauda,Carnivora,Herpestidae,Bdeogale,crassicauda,Horizontal,Nocturnal,0,2075,,Insectivore,Carnivore,,,,
Crossarchus_alexandri,Crossarchus_alexandri,crossarchus_alexandri,Carnivora,Herpestidae,Crossarchus,alexandri,Horizontal,Diurnal,,1112.5,,Insectivore,Carnivore,,,,
Cynictis_penicillata,Cynictis_penicillata,cynictis_penicillata,Carnivora,Herpestidae,Cynictis,penicillata,Horizontal,Diurnal,,836,,Insectivore,Carnivore,,,,
Dologale_dybowskii,Dologale_dybowskii,helogale_parvula,Carnivora,Herpestidae,Dologale,dybowskii,Horizontal,Nocturnal,1,350,,Insectivore,Carnivore,,,,
Helogale_hirtula,Helogale_hirtula,helogale_hirtula,Carnivora,Herpestidae,Helogale,hirtula,Horizontal,Diurnal,,294.5,,Insectivore,Carnivore,,,,
Herpestes_auropunctatus,Herpestes_brachyurus,herpestes_brachyurus,Carnivora,Herpestidae,Herpestes,auropunctatus,Horizontal,Diurnal,,1840.133333,,Carnivore,Carnivore,,,,
Ichneumia_albicauda,Ichneumia_albicauda,ichneumia_albicauda,Carnivora,Herpestidae,Ichneumia,albicauda,Horizontal,Nocturnal,0,3500,,Insectivore,Carnivore,,,,
Liberiictis_kuhni,Liberiictis_kuhni,liberiictis_kuhni,Carnivora,Herpestidae,Liberiictis,kuhni,Horizontal,Diurnal,,2150,,Insectivore,Carnivore,,,,
Mungos_gambianus,Mungos_gambianus,mungos_mungo,Carnivora,Herpestidae,Mungos,gambianus,Horizontal,Diurnal,,1712.5,,Insectivore,Carnivore,,,,
Paracynictis_selousi,Paracynictis_selousi,paracynictis_selousi,Carnivora,Herpestidae,Paracynictis,selousi,Horizontal,Nocturnal,0,1640,,Insectivore,Carnivore,,,,
Rhynchogale_melleri,Rhynchogale_melleri,rhynchogale_melleri,Carnivora,Herpestidae,Rhynchogale,melleri,Horizontal,Nocturnal,0,2500,,Mixed,Carnivore,,,,
Suricata_suricatta,Suricata_suricatta,suricata_suricatta,Carnivora,Herpestidae,Suricata,suricatta,Horizontal,Diurnal,,725.5,,Insectivore,Carnivore,,,,
Parahyaena_brunnea,Hyaena_brunnea,parahyaena_brunnea,Carnivora,Hyaenidae,Parahyaena,brunnea,Vertical,Nocturnal,1,32200.3,1,Carnivore,Carnivore,,,,
Conepatus_chinga,Conepatus_chinga,conepatus,Carnivora,Mephitidae,Conepatus,chinga,Round,Nocturnal,1,1736.375,,Insectivore,Carnivore,,,,
Mydaus_javanensis,Mydaus_javanensis,mydaus,Carnivora,Mephitidae,Mydaus,javanensis,Round,Nocturnal,1,1957.1,,Insectivore,Carnivore,,,,
Spilogale_angustifrons,Spilogale_angustifrons,spilogale,Carnivora,Mephitidae,Spilogale,angustifrons,Round,Nocturnal,1,371.075,,Mixed,Carnivore,,,,
Arctonyx_albogularis,Arctonyx_collaris,arctonyx_collaris,Carnivora,Mustelidae,Arctonyx,albogularis,Round,Cathemeral,,6789.133333,,Mixed,Carnivore,,,,
Eira_barbara,Eira_barbara,eira_barbara,Carnivora,Mustelidae,Eira,barbara,Horizontal,Diurnal,,3910,,Carnivore,Carnivore,,,,
Galictis_cuja,Galictis_cuja,galictis_cuja,Carnivora,Mustelidae,Galictis,cuja,Round,Diurnal,,2100,,Carnivore,Carnivore,,,,
Gulo_gulo,Gulo_gulo,gulo_gulo,Carnivora,Mustelidae,Gulo,gulo,Horizontal,Nocturnal,1,17012.6,,Carnivore,Carnivore,,,,
Martes_americana,Martes_americana,martes_americana,Carnivora,Mustelidae,Martes,americana,Round,Cathemeral,,1763.2875,,Carnivore,Carnivore,,,,
Meles_meles,Meles_meles,meles_meles,Carnivora,Mustelidae,Meles,meles,Round,Nocturnal,1,10250,,Insectivore,Carnivore,,,,
Mellivora_capensis,Mellivora_capensis,mellivora_capensis,Carnivora,Mustelidae,Mellivora,capensis,Round,Nocturnal,1,8500,,Carnivore,Carnivore,,,,
Melogale_cucphuongensis,Melogale_cucphuongensis,melogale_personata,Carnivora,Mustelidae,Melogale,cucphuongensis,Round,Nocturnal,0,1513.62,,Mixed,Carnivore,,,,
Mustela_erminea,Mustela_erminea,mustela_erminea,Carnivora,Mustelidae,Mustela,erminea,Horizontal,Nocturnal,1,480.8526316,,Carnivore,Carnivore,,,,
Taxidea_taxus,Taxidea_taxus,taxidea_taxus,Carnivora,Mustelidae,Taxidea,taxus,Round,Nocturnal,1,7107.6,,Carnivore,Carnivore,,,,
Vormela_peregusna,Vormela_peregusna,vormela_peregusna,Carnivora,Mustelidae,Vormela,peregusna,Round,Nocturnal,1,450.4,,Carnivore,Carnivore,,,,
Prionodon_linsang,Prionodon_linsang,prionodon_linsang,Carnivora,Prionodontidae,Prionodon,linsang,Vertical,Nocturnal,1,606,1,Carnivore,Carnivore,,,,
Bassaricyon_alleni,Bassaricyon_alleni,bassaricyon_alleni,Carnivora,Procyonidae,Bassaricyon,alleni,Horizontal,Nocturnal,1,1297.625,,Herbivore,Herbivore,,,,
Bassariscus_astutus,Bassariscus_astutus,bassariscus_astutus,Carnivora,Procyonidae,Bassariscus,astutus,Round,Nocturnal,1,1014.75,,Herbivore,Herbivore,,,,
Nasua_nasua,Nasua_nasua,nasua_nasua,Carnivora,Procyonidae,Nasua,nasua,Horizontal,Diurnal,,3911.9,,Mixed,Mixed,,,,
Nasuella_meridensis,Nasuella_meridensis,nasuella_olivacea,Carnivora,Procyonidae,Nasuella,meridensis,Horizontal,Diurnal,,1561.4,,Herbivore,Herbivore,,,,
Potos_flavus,Potos_flavus,potos_flavus,Carnivora,Procyonidae,Potos,flavus,Round,Nocturnal,0,3000,,Herbivore,Herbivore,,,,
Procyon_cancrivorus,Procyon_cancrivorus,procyon_cancrivorus,Carnivora,Procyonidae,Procyon,cancrivorus,Round,Nocturnal,1,5333.3,,Mixed,Carnivore,,,,
