"","Horizontal","Round","Vertical"
"835",0,1,0
"836",0,1,0
"837",0,1,0
"838",0,1,0
"839",0,1,0
"840",0,1,0
"841",0,1,0
"842",0,1,0
"843",0,1,0
"844",0,1,0
"845",0,1,0
"846",0,1,0
"847",0,1,0
"848",0,1,0
"849",0,1,0
"850",0,1,0
"851",0,1,0
"852",0,1,0
"853",0,1,0
"854",0,1,0
"855",0,1,0
"856",0,1,0
"857",0,1,0
"858",0,1,0
"859",0,1,0
"860",0,1,0
"861",0,1,0
"862",0,1,0
"863",0,0.9996,4e-04
"864",0,0.9992,8e-04
"865",0,0.9842,0.0158
"866",0,1,0
"867",0,1,0
"868",0,1,0
"869",0,1,0
"870",0,1,0
"871",0,1,0
"872",0,1,0
"873",0,1,0
"874",0,1,0
"875",0,1,0
"876",0,1,0
"877",0,1,0
"878",0,1,0
"879",0,1,0
"880",0,0.9984,0.0016
"881",0,0.993,0.007
"882",2e-04,0.9388,0.061
"883",0,0.9954,0.0046
"884",2e-04,0.995,0.0048
"885",0,0.9994,6e-04
"886",0,1,0
"887",0,0.9998,2e-04
"888",0,1,0
"889",0,1,0
"890",0,1,0
"891",0,1,0
"892",0,1,0
"893",0,1,0
"894",0,1,0
"895",0,1,0
"896",0,1,0
"897",0,1,0
"898",0,1,0
"899",0,1,0
"900",0,1,0
"901",0,1,0
"902",0,1,0
"903",0,1,0
"904",0,1,0
"905",0,1,0
"906",0,1,0
"907",0,1,0
"908",0,1,0
"909",0,1,0
"910",0,1,0
"911",0,1,0
"912",0,0.9998,2e-04
"913",0,1,0
"914",0,1,0
"915",0,1,0
"916",0,1,0
"917",0,1,0
"918",0,0.9998,2e-04
"919",0,1,0
"920",0,1,0
"921",0,1,0
"922",0,1,0
"923",0,1,0
"924",0,1,0
"925",0,1,0
"926",0,1,0
"927",0,1,0
"928",0,0.9998,2e-04
"929",0,1,0
"930",0,0.9172,0.0828
"931",0,0.9302,0.0698
"932",0,0.8962,0.1038
"933",0,0.8708,0.1292
"934",0,0.0336,0.9664
"935",0,0.003,0.997
"936",0,0,1
"937",0,2e-04,0.9998
"938",0,0.0184,0.9816
"939",0,0.9938,0.0062
"940",0,0.9986,0.0014
"941",0,0.9972,0.0028
"942",0,0.9852,0.0148
"943",0,0.9294,0.0706
"944",0,0.9172,0.0828
"945",0,0.0044,0.9956
"946",0,0.0016,0.9984
"947",0,0,1
"948",0,0,1
"949",0,0,1
"950",0,8e-04,0.9992
"951",0,2e-04,0.9998
"tachyglossus_aculeatus",0,1,0
"zaglossus_bruijni",0,1,0
"isoodon_auratus",0,1,0
"perameles_nasuta",0,1,0
"echymipera_clara",0,1,0
"microperoryctes_aplini",0,1,0
"macrotis_lagotis",0,1,0
"parantechinus_apicalis",0,1,0
"dasycercus_cristicauda",0,1,0
"dasyuroides_byrnei",0,1,0
"pseudantechinus_mimulus",0,1,0
"dasyurus_albopunctatus",0,1,0
"sarcophilus_harrisii",0,0,1
"antechinus_bellus",0,1,0
"murexia_naso",0,1,0
"phascogale_tapoatafa",0,1,0
"antechinomys_laniger",0,1,0
"sminthopsis_crassicaudata",0,1,0
"planigale_ingrami",0,1,0
"petrogale_concinna",0,1,0
"dendrolagus_dorianus",0,1,0
"thylogale_billardierii",0,1,0
"macropus_agilis",0,1,0
"wallabia_bicolor",0,1,0
"lagorchestes_conspicillatus",0,1,0
"onychogalea_unguifera",0,1,0
"dorcopsulus_vanheurni",0,1,0
"dorcopsis_hageni",0,1,0
"lagostrophus_fasciatus",0,1,0
"bettongia_gaimardi",0,1,0
"aepyprymnus_rufescens",0,1,0
"potorous_gilbertii",0,1,0
"hypsiprymnodon_moschatus",0,1,0
"pseudochirops_albertisii",0,0,1
"petropseudes_dahli",0,0,1
"hemibelideus_lemuroides",0,1,0
"petauroides_volans",0,1,0
"pseudochirulus_canescens",0,1,0
"pseudocheirus_peregrinus",0,1,0
"gymnobelideus_leadbeateri",0,1,0
"dactylopsila_trivirgata",0,1,0
"tarsipes_rostratus",0,0,1
"distoechurus_pennatus",0,1,0
"acrobates_pygmaeus",0,1,0
"phalanger_gymnotis",0,0,1
"spilocuscus_maculatus",0,0,1
"strigocuscus_celebensis",0,0,1
"ailurops_ursinus",0,1,0
"trichosurus_caninus",0,1,0
"wyulda_squamicaudata",0,1,0
"cercartetus_caudatus",0,1,0
"vombatus_ursinus",0,1,0
"lasiorhinus_krefftii",0,0,1
"phascolarctos_cinereus",0,0,1
"dromiciops_gliroides",0,1,0
"monodelphis_domestica",0,1,0
"marmosa_murina",0,1,0
"metachirus_nudicaudatus",0,1,0
"didelphis_albiventris",0,1,0
"philander_mcilhennyi",0,1,0
"lutreolina_crassicaudata",0,1,0
"hyladelphys_kalinowskii",0,1,0
"glironia_venusta",0,1,0
"caluromys_derbianus",0,1,0
"bradypus_torquatus",0,1,0
"choloepus_hoffmanni",0,1,0
"tamandua_mexicana",0,1,0
"myrmecophaga_tridactyla",0,1,0
"cyclopes_didactylus",0,1,0
"elephantulus_brachyrhynchus",0,0,1
"macroscelides_proboscideus",0,0,1
"petrodromus_tetradactylus",0,0,1
"rhynchocyon_petersi",0,1,0
"orycteropus_afer",0,1,0
"loxodonta_africana",0,1,0
"elephas_maximus",0,1,0
"heterohyrax_brucei",1,0,0
"procavia_capensis",1,0,0
"dendrohyrax_dorsalis",1,0,0
"galictis_cuja",0,1,0
"vormela_peregusna",0,1,0
"mustela_erminea",1,0,0
"melogale_personata",0,1,0
"martes_americana",0,1,0
"gulo_gulo",1,0,0
"eira_barbara",1,0,0
"meles_meles",0,1,0
"arctonyx_collaris",0,1,0
"mellivora_capensis",0,1,0
"taxidea_taxus",0,1,0
"bassaricyon_alleni",1,0,0
"nasuella_olivacea",1,0,0
"nasua_nasua",1,0,0
"procyon_cancrivorus",0,1,0
"bassariscus_astutus",0,1,0
"potos_flavus",0,1,0
"spilogale",0,1,0
"conepatus",0,1,0
"mydaus",0,1,0
"ailurus_fulgens",0,0,1
"ursus_americanus",0,1,0
"helarctos_malayanus",0,1,0
"melursus_ursinus",0,1,0
"ailuropoda_melanoleuca",0,0,1
"canis_lupus",0,1,0
"cuon_alpinus",0,1,0
"lycaon_pictus",0,1,0
"lycalopex_culpaeus",0,0,1
"atelocynus_microtis",0,1,0
"cerdocyon_thous",0,0,1
"chrysocyon_brachyurus",0,1,0
"speothos_venaticus",0,1,0
"vulpes_vulpes",0,0,1
"nyctereutes_procyonoides",0,0,1
"otocyon_megalotis",0,0,1
"urocyon_cinereoargenteus",0,0,1
"bdeogale_crassicauda",1,0,0
"cynictis_penicillata",1,0,0
"paracynictis_selousi",1,0,0
"rhynchogale_melleri",1,0,0
"ichneumia_albicauda",1,0,0
"herpestes_brachyurus",1,0,0
"crossarchus_alexandri",1,0,0
"helogale_hirtula",1,0,0
"helogale_parvula",1,0,0
"liberiictis_kuhni",1,0,0
